region,region_name,model,forecast,bs,bias_mean_pred_minus_obs,mae,corr_with_observed,std_pred,std_observed,amplitude_ratio_pred_to_obs,mean_pred,mean_observed,min_pred,max_pred,min_observed,max_observed
cvalley,California Central Valley,spatial,climatology,0.06427839150335463,-0.038019073246636524,0.17285223450953854,0.3766933644795013,0.05711261087418706,0.26859161247852437,0.2126373580588023,0.13537166634686704,0.17339073959350354,0.0118386601661249,0.2055281690140845,0.0,0.9843016431924884
cvalley,California Central Valley,spatial,raw,0.07689771634028573,0.1003012078668139,0.22444579599845718,0.33182556165620486,0.15009537479420648,0.26859161247852437,0.5588237600167338,0.2736919474603175,0.17339073959350354,0.0794254,0.5977208,0.0,0.9843016431924884
cvalley,California Central Valley,spatial,isotonic,0.0659779183481533,-0.03433074916493211,0.17958442493943635,0.31121371863255415,0.057317720001436,0.26859161247852437,0.21340100486577526,0.13905999042857142,0.17339073959350354,0.013762999,0.29971236,0.0,0.9843016431924884
cvalley,California Central Valley,spatial,platt,0.06614904046798603,-0.02628816319044582,0.18482812078284805,0.31112945416117155,0.04674698337143528,0.26859161247852437,0.17404483684379013,0.14710257640305774,0.17339073959350354,0.0940581371216191,0.2615695770672804,0.0,0.9843016431924884
cvalley,California Central Valley,spatial,selected,0.0659779183481533,-0.03433074916493211,0.17958442493943635,0.31121371863255415,0.057317720001436,0.26859161247852437,0.21340100486577526,0.13905999042857142,0.17339073959350354,0.013762999,0.29971236,0.0,0.9843016431924884
cvalley,California Central Valley,tabular,climatology,0.06427839150335463,-0.038019073246636524,0.17285223450953854,0.3766933644795013,0.05711261087418706,0.26859161247852437,0.2126373580588023,0.13537166634686704,0.17339073959350354,0.0118386601661249,0.2055281690140845,0.0,0.9843016431924884
cvalley,California Central Valley,tabular,raw,0.07826864549292904,0.08435423046998854,0.21863765542702857,0.2895131459755517,0.15653850654564339,0.26859161247852437,0.5828123413874647,0.25774497006349206,0.17339073959350354,0.05002767,0.64248806,0.0,0.9843016431924884
cvalley,California Central Valley,tabular,isotonic,0.06816405547228252,-0.027992017878265444,0.1850923767409282,0.23587549635260815,0.0817819448980532,0.26859161247852437,0.3044843587756941,0.14539872171523807,0.17339073959350354,0.00034757706,0.5105135,0.0,0.9843016431924884
cvalley,California Central Valley,tabular,platt,0.06729278938531258,-0.02708650335524082,0.1859517865714643,0.26241883282308814,0.04905655449434612,0.26859161247852437,0.18264365756495285,0.14630423623826275,0.17339073959350354,0.0912721033137759,0.2855464409042167,0.0,0.9843016431924884
cvalley,California Central Valley,tabular,selected,0.06816405547228252,-0.027992017878265444,0.1850923767409282,0.23587549635260815,0.0817819448980532,0.26859161247852437,0.3044843587756941,0.14539872171523807,0.17339073959350354,0.00034757706,0.5105135,0.0,0.9843016431924884
